EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,NumCompaniesWorked,Over18,DistanceFromHome,Attrition,PerformanceRating,EmployeeCount,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,StockOptionLevel,StandardHours,Department,JobRole,JobLevel,JobInvolvement,JobSatisfaction,OverTime,BusinessTravel,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear
1097,28,Female,Single,3,Other,3,Y,10,No,3,1,3660,7909,857,59,13,0,80,"Research & Development","Research Scientist",2,3,3,No,Travel_Rarely,3,4,4,10,8,7,1,7,4
1098,44,Male,Married,2,Medical,9,Y,1,Yes,3,1,10482,2326,1376,91,14,1,80,"Human Resources","Human Resources",3,2,1,No,Travel_Rarely,2,4,3,24,20,6,3,6,1
1099,33,Male,Divorced,3,"Life Sciences",4,Y,5,No,3,1,7119,21214,654,34,15,1,80,"Research & Development","Healthcare Representative",3,2,4,No,Travel_Rarely,4,3,3,9,3,2,1,2,2
1100,35,Male,Single,3,"Technical Degree",0,Y,4,Yes,4,1,9582,10333,1204,86,22,0,80,Sales,"Sales Executive",3,3,1,Yes,Travel_Rarely,4,1,3,9,8,7,4,7,2
1101,33,Female,Single,4,Medical,1,Y,29,Yes,4,1,4508,3129,827,54,22,0,80,"Research & Development","Research Scientist",2,2,3,No,Travel_Frequently,1,2,3,14,13,7,3,8,4
1102,28,Male,Divorced,2,"Life Sciences",1,Y,15,No,3,1,2207,22482,895,50,16,1,80,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Rarely,1,4,2,4,4,2,2,2,5
1103,34,Male,Single,1,"Life Sciences",0,Y,3,No,3,1,7756,22266,618,45,17,0,80,"Research & Development","Healthcare Representative",2,3,4,No,Travel_Frequently,1,3,2,7,6,2,0,4,1
1105,37,Female,Divorced,4,"Life Sciences",2,Y,10,No,3,1,6694,24223,309,88,14,3,80,Sales,"Sales Executive",2,2,4,Yes,Travel_Rarely,4,3,3,8,1,0,0,0,5
1106,25,Male,Married,1,"Technical Degree",1,Y,4,Yes,3,1,3691,4605,1219,32,15,1,80,"Research & Development","Laboratory Technician",1,3,4,Yes,Travel_Rarely,4,2,4,7,7,7,5,6,3
1107,26,Male,Divorced,3,Medical,1,Y,21,Yes,4,1,2377,19373,1330,37,20,1,80,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Rarely,1,3,2,1,1,1,0,0,0
1108,33,Male,Single,3,Medical,4,Y,25,Yes,4,1,2313,2993,1017,55,20,0,80,"Research & Development","Research Scientist",1,2,2,Yes,Travel_Rarely,1,2,3,5,2,2,2,2,0
1109,42,Male,Married,2,Medical,0,Y,2,No,3,1,17665,14399,469,35,17,1,80,"Research & Development",Manager,4,3,1,No,Travel_Rarely,4,4,3,23,22,6,13,7,3
1111,28,Male,Divorced,3,Medical,1,Y,1,Yes,3,1,2596,7160,1009,45,15,2,80,"Research & Development","Laboratory Technician",1,2,2,No,Travel_Frequently,1,1,3,1,1,0,0,0,2
1113,50,Male,Single,4,Other,3,Y,1,Yes,3,1,4728,17251,959,81,14,0,80,Sales,"Sales Executive",2,3,3,Yes,Travel_Frequently,4,4,3,5,0,0,0,0,4
1114,33,Female,Married,3,"Life Sciences",0,Y,7,No,3,1,4302,13401,970,30,17,1,80,Sales,"Sales Executive",2,3,2,No,Travel_Frequently,4,3,3,4,3,2,0,2,3
1115,34,Male,Married,4,"Life Sciences",3,Y,3,No,3,1,2979,22478,697,40,17,3,80,"Research & Development","Research Scientist",1,2,4,No,Non-Travel,3,4,3,6,0,0,0,0,2
1116,48,Male,Single,4,Medical,2,Y,1,No,4,1,16885,16154,1262,35,22,0,80,"Research & Development",Manager,4,4,4,No,Non-Travel,1,3,2,27,5,4,2,1,3
1117,45,Female,Married,4,"Life Sciences",1,Y,9,No,3,1,5593,17970,1050,65,13,1,80,Sales,"Sales Executive",2,2,3,No,Non-Travel,2,4,3,15,15,10,4,12,2
1118,52,Male,Single,4,"Life Sciences",7,Y,7,No,3,1,10445,15322,994,87,19,0,80,"Research & Development","Healthcare Representative",3,3,2,No,Travel_Rarely,2,4,3,18,8,6,4,0,4
1119,38,Male,Divorced,4,Marketing,0,Y,10,No,3,1,8740,5569,770,73,14,2,80,Sales,"Sales Executive",3,2,3,Yes,Travel_Rarely,3,2,3,9,8,7,2,7,2
1120,29,Female,Divorced,4,"Life Sciences",4,Y,28,No,4,1,2514,26968,1107,93,22,1,80,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,1,3,11,7,5,1,7,1
1121,28,Female,Divorced,3,Medical,0,Y,3,No,3,1,7655,8039,950,93,17,3,80,"Research & Development","Manufacturing Director",3,3,2,No,Travel_Rarely,4,2,2,10,9,7,1,7,3
1124,46,Male,Married,1,Marketing,3,Y,3,No,3,1,17465,15596,406,52,12,1,80,Sales,Manager,4,3,3,No,Travel_Rarely,1,4,3,23,12,9,4,9,3
1125,38,Male,Single,2,Marketing,7,Y,2,No,3,1,7351,20619,130,32,16,0,80,Sales,"Sales Executive",3,3,2,No,Travel_Rarely,4,3,3,10,1,0,0,0,2
1126,43,Female,Married,3,"Life Sciences",8,Y,27,No,3,1,10820,11535,1082,83,11,1,80,"Research & Development","Manufacturing Director",3,3,1,No,Travel_Frequently,3,3,3,18,8,7,0,1,1
1127,39,Male,Divorced,3,"Life Sciences",7,Y,2,Yes,3,1,12169,13547,203,84,11,3,80,"Research & Development","Healthcare Representative",4,3,4,No,Travel_Frequently,1,4,3,21,18,7,11,5,4
1128,40,Male,Single,3,Medical,1,Y,14,No,3,1,19626,17544,1308,44,14,0,80,"Research & Development","Research Director",5,2,3,No,Travel_Rarely,3,1,4,21,20,7,4,9,2
1131,21,Female,Single,1,"Technical Degree",1,Y,1,No,3,1,2070,25326,984,70,11,0,80,"Research & Development","Research Scientist",1,2,2,Yes,Travel_Rarely,4,3,4,2,2,2,2,2,6
1132,39,Male,Single,3,"Life Sciences",9,Y,9,No,3,1,6782,8770,439,70,15,0,80,"Research & Development","Laboratory Technician",2,3,2,No,Non-Travel,3,3,2,9,5,4,0,3,2
1133,36,Male,Single,4,"Life Sciences",2,Y,18,No,4,1,7779,23238,217,78,20,0,80,"Research & Development","Manufacturing Director",2,3,4,No,Non-Travel,1,1,3,18,11,9,0,9,0
1135,31,Male,Married,3,"Life Sciences",0,Y,20,No,3,1,2791,21981,793,67,12,1,80,Sales,"Sales Representative",1,4,4,No,Travel_Frequently,3,1,3,3,2,2,2,2,4
1136,28,Male,Married,1,"Life Sciences",0,Y,2,No,3,1,3201,19911,1451,67,17,0,80,"Research & Development","Research Scientist",1,2,2,No,Travel_Rarely,1,1,1,6,5,3,0,4,2
1137,35,Male,Divorced,2,Marketing,1,Y,11,No,3,1,4968,18500,1182,54,11,1,80,Sales,"Sales Executive",2,3,4,No,Travel_Frequently,4,4,3,5,5,2,0,2,3
1138,49,Male,Married,4,"Technical Degree",6,Y,8,No,3,1,13120,11879,174,56,17,1,80,Sales,"Sales Executive",4,2,2,No,Travel_Rarely,4,2,3,22,9,8,2,3,3
1140,34,Male,Single,2,"Life Sciences",2,Y,2,No,3,1,4033,15834,1003,95,11,0,80,"Research & Development","Manufacturing Director",2,3,3,No,Travel_Frequently,4,4,2,5,3,2,0,2,3
1143,29,Female,Divorced,3,"Life Sciences",0,Y,10,No,3,1,3291,17940,490,61,14,2,80,"Research & Development","Research Scientist",1,3,2,No,Travel_Frequently,4,4,2,8,7,5,1,1,2
1148,42,Male,Single,3,Medical,4,Y,29,No,3,1,4272,9558,188,56,19,0,80,"Research & Development","Laboratory Technician",2,1,4,No,Travel_Rarely,2,1,3,16,1,0,0,0,3
1150,29,Male,Married,1,Medical,1,Y,8,No,3,1,5056,17689,718,79,15,1,80,"Research & Development","Manufacturing Director",2,2,4,Yes,Travel_Rarely,2,3,2,10,10,7,1,2,2
1152,38,Male,Married,3,"Human Resources",1,Y,1,No,3,1,2844,6004,433,37,13,1,80,"Human Resources","Human Resources",1,4,3,No,Travel_Rarely,3,4,4,7,7,6,5,0,2
1154,28,Male,Divorced,3,"Life Sciences",1,Y,6,No,3,1,2703,22088,773,39,14,1,80,"Research & Development","Research Scientist",1,2,3,Yes,Travel_Frequently,3,4,3,3,3,1,0,2,2
1156,18,Male,Single,1,Medical,1,Y,8,Yes,3,1,1904,13556,247,80,12,0,80,"Research & Development","Laboratory Technician",1,3,3,No,Non-Travel,3,4,3,0,0,0,0,0,0
1157,33,Female,Single,4,Marketing,0,Y,9,Yes,3,1,8224,18385,603,77,17,0,80,Sales,"Sales Executive",2,3,1,Yes,Travel_Rarely,1,1,3,6,5,2,0,3,3
1158,41,Male,Married,4,"Life Sciences",3,Y,12,No,3,1,4766,9051,167,46,11,1,80,"Research & Development","Laboratory Technician",1,3,4,Yes,Travel_Rarely,2,1,3,6,1,0,0,0,4
1160,31,Male,Married,3,Medical,1,Y,15,Yes,3,1,2610,6233,874,72,12,1,80,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Frequently,3,3,2,2,2,2,2,2,5
1161,37,Female,Divorced,2,Medical,7,Y,25,No,3,1,5731,17171,367,52,13,2,80,"Research & Development","Healthcare Representative",2,2,4,No,Travel_Rarely,3,3,3,9,6,2,1,3,2
1162,27,Male,Married,3,"Life Sciences",1,Y,6,No,3,1,2539,7950,199,55,13,1,80,"Research & Development","Research Scientist",1,2,3,No,Travel_Rarely,4,3,3,4,4,2,2,2,0
1163,34,Female,Married,1,"Life Sciences",1,Y,9,No,4,1,5714,5829,1400,70,20,0,80,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,2,1,2,6,6,5,1,3,3
1164,35,Male,Single,4,"Technical Degree",1,Y,8,No,3,1,4323,7108,528,100,17,0,80,"Human Resources","Human Resources",1,3,3,No,Travel_Rarely,3,2,1,6,5,4,1,4,2
1165,29,Female,Married,1,"Life Sciences",1,Y,23,Yes,3,1,7336,11162,408,45,13,1,80,Sales,"Sales Executive",3,2,1,No,Travel_Rarely,4,1,1,11,11,8,3,10,3
1166,40,Female,Single,4,Medical,9,Y,9,No,3,1,13499,13782,593,88,17,0,80,"Research & Development","Research Director",3,3,3,No,Travel_Frequently,2,3,2,20,18,7,2,13,3
1167,42,Male,Single,3,"Life Sciences",0,Y,12,Yes,3,1,13758,2447,481,44,12,0,80,Sales,"Sales Executive",4,3,1,Yes,Travel_Frequently,3,2,2,22,21,9,13,14,2
1171,42,Male,Single,4,Marketing,7,Y,4,No,3,1,5155,2253,647,45,13,0,80,Sales,"Sales Executive",2,3,1,No,Travel_Rarely,2,4,4,9,6,4,1,5,3
1172,35,Male,Married,4,Medical,6,Y,1,No,3,1,2258,16340,982,58,12,1,80,"Research & Development","Laboratory Technician",1,2,3,No,Travel_Rarely,4,2,3,10,8,0,1,7,2
1173,24,Male,Single,3,Medical,8,Y,24,No,4,1,3597,6409,477,49,22,0,80,"Research & Development","Laboratory Technician",1,3,2,No,Travel_Rarely,4,4,3,6,4,3,1,2,2
1175,28,Female,Married,1,"Life Sciences",1,Y,12,Yes,3,1,2515,22955,1485,79,11,0,80,"Research & Development","Laboratory Technician",1,3,4,Yes,Travel_Rarely,3,4,2,1,1,1,0,0,4
1177,26,Male,Married,4,Medical,1,Y,3,No,4,1,4420,13421,1384,82,22,1,80,"Research & Development","Laboratory Technician",1,4,4,No,Travel_Rarely,1,2,3,8,8,7,0,7,2
1179,30,Male,Married,3,Marketing,1,Y,10,No,3,1,6578,2706,852,72,18,1,80,Sales,"Sales Executive",2,2,3,No,Travel_Rarely,3,1,3,10,10,3,1,4,3
1180,40,Female,Married,2,Medical,3,Y,26,No,3,1,4422,21203,902,92,13,1,80,"Research & Development","Research Scientist",2,2,4,Yes,Travel_Frequently,3,4,1,16,1,1,0,0,3
1182,35,Male,Divorced,3,"Life Sciences",2,Y,2,No,3,1,10274,19588,819,44,18,1,80,"Research & Development","Manufacturing Director",3,2,2,No,Travel_Rarely,3,2,4,15,7,7,6,4,2
1184,34,Male,Single,3,Medical,0,Y,1,No,4,1,5343,25755,669,97,20,0,80,"Research & Development","Healthcare Representative",2,2,1,No,Travel_Frequently,4,3,3,14,13,9,4,9,3
1185,35,Male,Married,4,Other,1,Y,4,No,3,1,2376,26537,636,47,13,1,80,"Research & Development","Laboratory Technician",1,2,4,No,Travel_Frequently,4,2,4,2,2,2,2,2,2
1188,43,Female,Single,3,Marketing,8,Y,9,Yes,3,1,5346,9489,1372,85,13,0,80,Sales,"Sales Executive",2,1,3,No,Travel_Rarely,1,2,2,7,4,3,1,3,2
1190,32,Female,Divorced,1,"Life Sciences",1,Y,2,No,3,1,2827,14947,862,76,12,3,80,Sales,"Sales Representative",1,3,1,No,Non-Travel,3,3,3,1,1,0,0,0,3
1191,56,Female,Divorced,4,"Technical Degree",4,Y,4,No,3,1,19943,18575,718,92,13,1,80,"Research & Development",Manager,5,3,1,No,Travel_Rarely,4,4,3,28,5,2,4,2,2
1192,29,Female,Married,1,Medical,1,Y,6,No,3,1,3131,26342,1401,54,13,1,80,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,2,1,3,10,10,8,0,8,5
1193,19,Male,Single,2,"Life Sciences",1,Y,9,No,4,1,2552,7172,645,54,25,0,80,"Research & Development","Research Scientist",1,3,1,No,Travel_Rarely,3,3,3,1,1,1,0,0,4
1195,45,Female,Married,3,Medical,4,Y,7,No,3,1,4477,20100,1457,83,19,1,80,"Research & Development","Research Scientist",1,3,3,Yes,Travel_Rarely,1,3,2,7,3,2,0,2,2
1196,37,Female,Married,3,"Life Sciences",1,Y,1,No,3,1,6474,9961,977,56,13,1,80,"Research & Development","Manufacturing Director",2,2,4,No,Travel_Rarely,4,2,2,14,14,8,3,11,2
1198,20,Male,Single,3,"Life Sciences",1,Y,3,No,3,1,3033,12828,805,87,12,0,80,"Research & Development","Laboratory Technician",1,2,3,No,Travel_Rarely,1,1,2,2,2,2,1,2,2
1200,44,Male,Single,4,"Life Sciences",1,Y,10,Yes,3,1,2936,10826,1097,96,11,0,80,"Research & Development","Research Scientist",1,3,3,Yes,Travel_Rarely,3,3,3,6,6,4,0,2,4
1201,53,Female,Divorced,2,Medical,3,Y,7,No,3,1,18606,18640,1223,50,18,1,80,"Research & Development",Manager,5,3,3,No,Travel_Rarely,4,2,3,26,7,7,4,7,6
1202,29,Female,Married,1,"Life Sciences",0,Y,15,No,3,1,2168,26933,942,69,18,1,80,"Research & Development","Research Scientist",1,1,4,Yes,Travel_Rarely,2,1,2,6,5,4,1,3,2
1203,22,Male,Married,4,"Life Sciences",0,Y,3,Yes,3,1,2853,4223,1256,48,11,1,80,"Research & Development","Research Scientist",1,2,4,Yes,Travel_Frequently,3,2,3,1,0,0,0,0,5
1204,46,Female,Married,3,Marketing,8,Y,2,No,4,1,17048,24097,1402,69,23,0,80,Sales,Manager,4,3,1,No,Travel_Rarely,3,1,3,28,26,15,15,9,2
1206,44,Male,Single,3,"Life Sciences",2,Y,17,No,3,1,2290,4279,111,74,13,0,80,"Research & Development","Research Scientist",1,1,3,No,Non-Travel,4,4,3,6,0,0,0,0,3
1207,33,Male,Married,3,"Human Resources",1,Y,2,No,3,1,3600,8429,147,99,13,1,80,"Human Resources","Human Resources",1,3,3,No,Travel_Rarely,2,4,3,5,5,4,1,4,2
1210,41,Male,Divorced,2,"Life Sciences",6,Y,5,Yes,3,1,2107,20293,906,95,17,1,80,"Research & Development","Research Scientist",1,2,1,No,Non-Travel,1,1,1,5,1,0,0,0,2
1211,30,Male,Divorced,4,"Life Sciences",8,Y,29,No,3,1,4115,13192,1329,61,19,3,80,Sales,"Sales Executive",2,3,1,No,Travel_Rarely,3,3,3,8,4,3,0,3,3
1212,40,Male,Married,4,Medical,5,Y,2,No,3,1,4327,25440,1184,62,12,3,80,Sales,"Sales Executive",2,3,2,No,Travel_Frequently,2,4,3,5,0,0,0,0,2
1215,50,Female,Married,3,Medical,2,Y,2,No,4,1,17856,9490,1421,30,22,1,80,"Research & Development",Manager,4,3,1,No,Travel_Frequently,4,3,3,32,2,2,2,2,3
1216,28,Male,Married,4,Medical,1,Y,19,No,3,1,3196,12449,1179,78,12,3,80,"Research & Development","Laboratory Technician",1,2,1,No,Travel_Rarely,4,3,3,6,6,5,3,3,2
1217,46,Male,Married,2,"Life Sciences",5,Y,15,No,3,1,19081,10849,1450,52,11,1,80,"Research & Development","Research Director",5,3,2,No,Travel_Rarely,4,1,3,25,4,2,0,3,2
1218,35,Male,Married,4,"Life Sciences",3,Y,17,No,3,1,8966,21026,1361,94,15,3,80,Sales,"Sales Executive",2,3,1,Yes,Travel_Rarely,3,4,3,15,7,7,1,7,2
1219,24,Female,Married,2,"Life Sciences",1,Y,17,Yes,3,1,2210,3372,984,97,13,1,80,"Research & Development","Laboratory Technician",1,3,2,No,Travel_Rarely,4,1,1,1,1,0,0,0,3
1220,33,Female,Married,3,Medical,1,Y,25,No,3,1,4539,4905,1146,82,12,1,80,Sales,"Sales Executive",2,3,3,No,Travel_Frequently,2,1,2,10,10,7,0,1,3
1221,36,Male,Divorced,4,"Life Sciences",1,Y,6,No,3,1,2741,6865,917,60,14,1,80,"Research & Development","Laboratory Technician",1,1,3,No,Travel_Rarely,3,3,3,7,7,7,1,7,4
1224,30,Male,Divorced,4,"Life Sciences",1,Y,7,No,3,1,3491,11309,853,49,13,3,80,"Research & Development","Laboratory Technician",2,3,3,No,Travel_Rarely,3,1,2,10,10,7,8,9,4
1225,44,Male,Single,4,Other,1,Y,29,No,4,1,4541,7744,200,32,25,0,80,"Research & Development","Research Scientist",2,3,4,No,Travel_Rarely,4,2,3,20,20,11,13,17,3
1226,20,Male,Single,3,Marketing,1,Y,21,No,3,1,2678,5050,654,43,17,0,80,Sales,"Sales Representative",1,4,4,No,Travel_Rarely,3,4,3,2,2,1,2,2,2
1228,46,Male,Divorced,4,"Technical Degree",2,Y,2,No,3,1,7379,17433,150,60,11,1,80,"Research & Development","Manufacturing Director",2,3,4,No,Travel_Rarely,4,3,2,12,6,3,1,4,3
1231,42,Male,Married,5,Medical,7,Y,2,No,3,1,6272,12858,179,79,16,1,80,"Human Resources","Human Resources",2,4,1,No,Non-Travel,4,1,4,10,4,3,0,3,3
1233,60,Male,Divorced,4,Marketing,0,Y,7,No,3,1,5220,10893,696,52,18,1,80,Sales,"Sales Executive",2,4,4,Yes,Travel_Rarely,2,2,3,12,11,7,1,9,3
1234,32,Female,Married,3,Other,1,Y,13,No,4,1,2743,7331,116,77,20,1,80,"Research & Development","Laboratory Technician",1,2,2,No,Travel_Frequently,3,3,3,2,2,2,2,2,2
1235,32,Female,Single,2,"Life Sciences",4,Y,2,No,3,1,4998,2338,1316,38,14,0,80,"Research & Development","Research Scientist",2,3,3,Yes,Travel_Frequently,4,4,3,10,8,7,0,7,2
1237,36,Female,Divorced,3,"Technical Degree",2,Y,1,No,4,1,10252,4235,363,77,21,1,80,"Research & Development","Manufacturing Director",3,1,1,Yes,Travel_Rarely,3,3,3,17,7,7,7,7,2
1238,33,Male,Married,3,Medical,0,Y,9,No,3,1,2781,6311,117,60,13,1,80,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,1,2,3,15,14,10,4,10,5
1239,40,Female,Divorced,3,"Technical Degree",7,Y,10,No,3,1,6852,11591,107,84,12,1,80,Sales,"Sales Executive",2,2,2,No,Travel_Rarely,2,2,4,7,5,1,1,3,2
1240,25,Male,Single,4,"Life Sciences",0,Y,10,No,3,1,4950,20623,1356,57,14,0,80,Sales,"Sales Executive",2,3,4,No,Travel_Rarely,3,2,3,5,4,3,1,1,4
1241,30,Male,Married,3,Medical,0,Y,1,No,4,1,3579,9369,1465,63,21,1,80,"Research & Development","Research Scientist",1,3,2,Yes,Travel_Rarely,4,1,3,12,11,9,5,7,2
1242,42,Female,Married,5,Medical,3,Y,26,No,3,1,13191,23281,458,60,17,0,80,"Research & Development","Research Director",3,3,1,Yes,Travel_Frequently,1,3,3,20,1,0,0,0,6
1243,35,Female,Married,2,Marketing,4,Y,8,No,3,1,10377,13755,1212,78,11,1,80,Sales,"Sales Executive",3,2,4,Yes,Non-Travel,3,2,2,16,13,2,4,12,6
1244,27,Male,Married,3,"Life Sciences",1,Y,14,No,3,1,2235,14377,1103,42,14,2,80,"Research & Development","Research Scientist",1,3,1,Yes,Travel_Rarely,1,4,2,9,9,7,6,8,3
1245,54,Female,Divorced,4,"Life Sciences",7,Y,1,No,3,1,10502,9659,966,53,17,1,80,"Research & Development","Manufacturing Director",3,3,3,No,Travel_Frequently,4,1,1,33,5,4,1,4,2
1246,44,Female,Married,1,"Life Sciences",1,Y,2,No,3,1,2011,19982,1117,72,13,1,80,"Research & Development","Research Scientist",1,4,4,No,Travel_Rarely,1,4,3,10,10,5,7,7,5
1248,19,Female,Single,3,Medical,1,Y,10,Yes,4,1,1859,6148,504,96,25,0,80,"Research & Development","Research Scientist",1,2,2,Yes,Non-Travel,1,2,4,1,1,1,0,0,2
1249,29,Female,Divorced,3,"Life Sciences",1,Y,1,No,3,1,3760,5598,1010,97,15,3,80,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,1,1,3,3,3,2,1,2,5
1250,54,Male,Married,3,"Life Sciences",3,Y,3,No,3,1,17779,23474,685,85,14,0,80,"Research & Development","Research Director",4,3,4,No,Travel_Rarely,4,1,3,36,10,9,0,9,2
1251,31,Male,Married,2,Medical,1,Y,11,No,3,1,6833,17089,1332,80,12,0,80,"Research & Development","Healthcare Representative",2,3,1,Yes,Travel_Rarely,3,4,2,6,6,5,0,1,2
1252,31,Female,Single,3,Medical,1,Y,24,No,3,1,6812,17198,1062,96,19,0,80,"Research & Development","Healthcare Representative",2,2,1,No,Travel_Rarely,3,2,3,10,10,9,1,8,2
1254,59,Female,Single,3,"Life Sciences",5,Y,3,No,3,1,5171,16490,326,48,17,0,80,Sales,"Sales Executive",2,2,4,No,Travel_Rarely,3,4,3,13,6,1,0,5,2
1255,43,Male,Married,3,"Life Sciences",3,Y,3,No,3,1,19740,18625,920,96,14,1,80,"Research & Development","Research Director",5,1,4,No,Travel_Rarely,3,2,3,25,8,7,0,7,2
1256,49,Male,Married,2,Medical,2,Y,4,No,3,1,18711,12124,1098,85,13,1,80,"Research & Development",Manager,5,2,3,No,Travel_Rarely,1,3,4,23,1,0,0,0,2
1257,36,Male,Married,3,"Technical Degree",1,Y,3,No,3,1,3692,9256,469,46,12,0,80,"Research & Development","Research Scientist",1,3,2,No,Travel_Frequently,3,3,2,12,11,10,0,7,2
1258,48,Male,Single,2,"Technical Degree",5,Y,2,No,3,1,2559,16620,969,76,11,0,80,"Research & Development","Laboratory Technician",1,4,2,No,Travel_Rarely,4,3,2,7,1,0,0,0,4
1259,27,Male,Divorced,2,"Life Sciences",1,Y,4,No,3,1,2517,3208,1167,76,11,3,80,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,1,2,3,5,5,3,0,3,2
1260,29,Male,Divorced,3,"Life Sciences",1,Y,7,No,3,1,6623,4204,1329,82,11,2,80,"Research & Development","Healthcare Representative",2,3,4,Yes,Travel_Rarely,3,2,3,6,6,0,1,0,2
1263,48,Male,Single,3,"Life Sciences",6,Y,1,No,3,1,18265,8733,715,76,12,0,80,"Research & Development","Research Director",5,2,4,No,Travel_Rarely,4,3,4,25,1,0,0,0,3
1264,29,Female,Divorced,3,"Life Sciences",3,Y,1,No,3,1,16124,3423,694,87,14,2,80,"Research & Development","Research Director",4,2,4,No,Travel_Rarely,4,2,2,9,7,7,1,7,2
1265,34,Female,Married,3,"Technical Degree",0,Y,20,No,3,1,2585,21643,1320,89,17,0,80,"Research & Development","Research Scientist",1,4,3,No,Travel_Rarely,3,4,2,2,1,0,0,0,5
1267,44,Male,Married,3,Marketing,7,Y,5,No,3,1,18213,8751,1099,88,11,1,80,Sales,Manager,5,3,2,No,Travel_Rarely,2,3,3,26,22,9,3,10,5
1268,33,Male,Divorced,5,Marketing,0,Y,10,No,3,1,8380,21708,536,82,14,2,80,Sales,"Sales Executive",3,4,3,Yes,Travel_Rarely,4,4,3,10,9,8,0,8,3
1269,19,Female,Single,3,"Life Sciences",1,Y,25,No,3,1,2994,21221,265,57,12,0,80,"Research & Development","Research Scientist",1,4,4,Yes,Travel_Rarely,2,4,3,1,1,0,0,1,2
1270,23,Male,Married,2,"Life Sciences",1,Y,1,No,4,1,1223,16901,373,47,22,1,80,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,4,4,3,1,1,0,0,1,2
1273,25,Male,Single,1,"Life Sciences",1,Y,24,Yes,3,1,1118,8040,599,73,14,0,80,Sales,"Sales Representative",1,1,4,Yes,Travel_Frequently,3,4,3,1,1,0,1,0,4
1275,26,Male,Single,2,"Life Sciences",1,Y,4,No,4,1,2875,9973,583,53,20,0,80,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,3,2,2,8,8,5,2,2,2
1277,45,Female,Single,3,Marketing,2,Y,2,Yes,3,1,18824,2493,1449,94,16,0,80,Sales,Manager,5,1,2,Yes,Travel_Rarely,1,1,3,26,24,10,1,11,2
1278,55,Male,Divorced,1,Medical,1,Y,8,No,3,1,13577,25592,177,37,15,1,80,"Research & Development","Healthcare Representative",4,2,2,Yes,Non-Travel,4,4,3,34,33,9,15,0,3
1279,21,Female,Single,2,"Life Sciences",1,Y,10,Yes,4,1,2625,25308,251,45,20,0,80,"Research & Development","Laboratory Technician",1,2,3,No,Travel_Frequently,1,3,1,2,2,2,2,2,2
1280,46,Female,Married,2,Marketing,2,Y,4,No,3,1,18789,9946,168,33,14,1,80,Sales,Manager,5,2,2,No,Travel_Rarely,4,3,3,26,11,4,0,8,2
1281,34,Female,Single,3,Marketing,0,Y,2,No,3,1,4538,6039,131,86,12,0,80,Sales,"Sales Executive",2,3,1,Yes,Travel_Rarely,3,4,3,4,3,2,0,2,3
1282,51,Male,Divorced,3,"Life Sciences",4,Y,9,No,4,1,19847,19196,237,83,24,1,80,Sales,Manager,5,3,2,Yes,Travel_Frequently,4,1,2,31,29,10,11,10,5
1283,59,Male,Single,4,Medical,6,Y,18,No,3,1,10512,20002,1429,67,12,0,80,"Research & Development","Manufacturing Director",3,3,4,No,Travel_Rarely,4,4,2,25,9,7,5,4,6
1285,34,Female,Divorced,3,Medical,4,Y,19,No,3,1,4444,22534,135,46,13,2,80,"Research & Development","Laboratory Technician",2,3,2,No,Travel_Frequently,3,3,4,15,11,8,5,10,2
1286,28,Male,Single,4,Medical,0,Y,1,No,3,1,2154,6842,791,44,11,0,80,"Research & Development","Laboratory Technician",1,3,3,Yes,Travel_Frequently,4,3,2,5,4,2,0,2,2
1288,44,Male,Divorced,2,"Life Sciences",1,Y,4,No,3,1,19190,17477,1199,92,14,2,80,"Research & Development",Manager,5,4,1,No,Travel_Rarely,3,4,2,26,25,9,14,13,4
1289,34,Male,Married,3,"Life Sciences",4,Y,11,No,3,1,4490,21833,648,56,11,2,80,"Human Resources","Human Resources",2,2,2,No,Travel_Frequently,3,4,4,14,10,9,1,8,5
1291,35,Male,Married,1,"Life Sciences",0,Y,6,No,3,1,3506,6020,735,66,14,0,80,"Research & Development","Research Scientist",1,3,3,Yes,Travel_Rarely,3,4,3,4,3,2,2,2,3
1292,42,Female,Married,4,Medical,6,Y,7,No,3,1,2372,5628,603,78,16,0,80,"Research & Development","Research Scientist",2,4,2,Yes,Travel_Rarely,2,4,3,18,1,0,0,0,2
1293,43,Female,Single,4,Marketing,3,Y,4,No,3,1,10231,20364,531,56,14,0,80,Sales,"Sales Executive",3,2,4,No,Travel_Rarely,4,4,4,23,21,7,15,17,3
